monomer_ID,smiles,density,self-diffusion,Cp,bulk_modulus,linear_expansion,refractive_index,thermal_conductivity
PI349,*C(C*)OC(=O)C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,0,0,0,0,0,0,0
PI351,*C(C*)OC(=O)C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,0,0,0,0,0,0,0
PI352,*C(C*)OC(=O)C(C(F)(F)F)(F)F,0,0,0,0,0,0,0
PI354,*C(C*)OC(=O)c1ccncc1,0,0,0,0,0,0,0
PI355,*C(C*)OC(=O)c1ccc(cc1)C(C)C,0,0,0,0,0,0,0
PI356,*C(C*)OC(=O)C(C(C)C)(C(C)C)C,0,0,0,0,0,0,0
PI357,*C(C*)OC(=O)c1c(cccc1)OC,0,0,0,0,0,0,0
PI358,*C(C*)OC(=O)c1cc(ccc1)OC,0,0,0,0,0,0,0
PI359,*C(C*)OC(=O)c1ccc(cc1)OC,0,0,0,0,0,0,0
PI360,*C(C*)OC(=O)c1c(cccc1)C,0,0,0,0,0,0,0
PI361,*C(C*)OC(=O)c1cc(ccc1)C,0,0,0,0,0,0,0
PI362,*C(C*)OC(=O)c1ccc(cc1)C,0,0,0,0,0,0,0
