monomer_ID,smiles,density,self-diffusion,Cp,bulk_modulus,linear_expansion,refractive_index,thermal_conductivity,polymer_class
PI466,*CC(*)C(=O)Oc1ccccc1C(=O)OCC,1.174569494,5.08e-13,2949.585097,3241318848.0,9.48e-05,1.524993858,0.218273906,4
PI467,*CC(*)C(=O)Oc1cccc(C(=O)OC)c1,1.206588234,4.15e-13,2797.737706,3767843249.0,8.22e-05,1.539455774,0.234531676,4
PI468,*CC(*)C(=O)Oc1cccc(C(=O)OCC)c1,1.166635876,5.53e-13,2943.15299,2938132421.0,0.000119447,1.530828206,0.235991614,4
PI469,*CC(*)C(=O)Oc1ccc(C(=O)OC)cc1,1.200460801,4.09e-13,2813.831132,3307421433.0,9.53e-05,1.546828918,0.246881391,4
PI470,*CC(*)C(=O)Oc1ccc(C(=O)OCC)cc1,1.168794946,7.26e-13,2951.349674,2970663047.0,0.000122005,1.53928563,0.254460099,4
PI471,*CC(*)C(=O)Oc1ccc(C(=O)OCCCC)cc1,1.126542992,5.15e-13,3163.196698,3138008986.0,0.000133852,1.530144405,0.269375988,4
PI472,*CC(*)C(=O)Oc1ccc(-c2ccccc2)cc1,1.152249555,6.25e-13,2896.523295,3635382971.0,8.19e-05,1.637110469,0.225714507,4
PI473,*CC(*)C(=O)OCc1ccccc1,1.135763036,7.56e-13,3118.49244,3372019776.0,0.000119785,1.548481574,0.203084164,4
PI474,*CC(*)C(=O)OCCc1ccccc1,1.114090612,1.26e-12,3316.051845,3347119008.0,0.000142214,1.535158728,0.218359976,4
PI475,*CC(*)C(=O)Oc1cccc(N(C)C)c1,1.15007506,6.95e-13,3160.316182,3897183839.0,0.000111824,1.582561671,0.265857865,4
PI476,*CC(*)C(=O)Oc1ccc(C#N)cc1,1.183986714,2.49e-13,2730.438108,4226903663.0,7.12e-05,1.57934657,0.217648606,4
PI477,*CC(*)C(=O)OCc1ccc(C#N)cc1,1.150101385,6.2e-13,2919.658036,3440654345.0,0.000105641,1.555327874,0.206123134,4
PI478,*CC(*)C(=O)Oc1ccc(Cl)cc1Cl,1.36901816,4.94e-13,2072.557397,3009663615.0,9.49e-05,1.566991926,0.148391912,4
PI479,*CC(*)C(=O)Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,1.559789955,3.59e-13,1463.500531,2411095349.0,8.96e-05,1.570820714,0.103950173,4
PI480,*CC(*)C(=O)N(C)C,1.073801453,8.68e-13,3561.976139,3108795607.0,0.000140724,1.503318492,0.254840576,4
PI481,*CC(*)(C)C(=O)OCCOC,1.090293836,9.31e-13,3574.078904,2860698988.0,0.000164881,1.451867273,0.229867686,4
PI482,*CC(*)(C)C(=O)OCC(C)O,1.091888654,4.73e-13,3557.53269,3761681335.0,0.000107852,1.45535081,0.247322516,4
PI483,*CC(*)(C)C(=O)OCCC#N,1.090917117,3.17e-13,3106.641277,4038650157.0,8.4e-05,1.460377291,0.215065114,4
PI485,*CC(*)(C)C(=O)OCCO[N+](=O)[O-],1.264027777,4.26e-13,2772.993506,4223472191.0,8.19e-05,1.461019485,0.219332193,4
PI486,*CC(*)(C)C(=O)OCCS(=O)CC,1.144553412,6.35e-13,3265.144708,3349362503.0,0.000124674,1.477885642,0.23559466,4
PI487,*CC(*)(C)C(=O)Oc1ccc(CC#N)cc1,1.116884827,3.17e-13,2885.542068,3741471528.0,7.51e-05,1.537269676,0.207428616,4
PI488,*CC(*)(C)C(=O)Oc1ccc(C(=O)OC)cc1,1.164528174,3.34e-13,2850.141092,3222821680.0,9.05e-05,1.536821048,0.243504441,4
PI489,*CC(*)(CC)C(=O)OCC,0.972122176,3.49e-13,3617.10157,2082632532.0,0.000119128,1.431091039,0.205025977,4
PI490,*CC(*)(CC(=O)OCC)C(=O)OCC,1.072165826,3.36e-13,3181.565588,2648453379.0,0.000100831,1.427117523,0.226726356,4
PI491,*CC(*)(CC(=O)OCCCC)C(=O)OCCCC,1.022044666,7.67e-13,3618.282516,2353997408.0,0.000168944,1.444373996,0.23939117,4
PI492,*CC(*)(CC(=O)OC1CCCCC1)C(=O)OC1CCCCC1,0.987497028,2.96e-13,3416.738255,1692506996.0,2.41e-05,1.427093947,0.173081052,4
PI493,*CC(*)(CC(=O)OCC1CCCCC1)C(=O)OCC1CCCCC1,1.013959173,6.45e-13,3491.159026,2556878009.0,8.89e-05,1.451480266,0.205021412,4
PI494,*CC(*)(CC(=O)OCCC1CCCCC1)C(=O)OCCC1CCCCC1,1.008079519,6.31e-13,3634.474843,2932044006.0,0.000104073,1.456626833,0.217195568,4
PI495,*CC(*)(CC(=O)OCCCC1CCCCC1)C(=O)OCCCC1CCCCC1,1.006667282,8.51e-13,3785.760502,2751209353.0,0.000140216,1.463735436,0.238263021,4
PI496,*CC(*)(CC(=O)Oc1ccccc1)C(=O)Oc1ccccc1,1.158608395,6.19e-13,2884.654652,2212545850.0,0.000137627,1.534911662,0.188229452,4
PI497,*CC(*)(CC(=O)OCc1ccccc1)C(=O)OCc1ccccc1,1.151577723,1.12e-12,3164.13213,2897894616.0,0.000128292,1.525900821,0.203256306,4
PI498,*CC(*)(CC(=O)OCCc1ccccc1)C(=O)OCCc1ccccc1,1.130052948,1.05e-12,3109.680398,3301249202.0,9.9e-05,1.516680242,0.202653643,4
PI499,*CC(*)(CC(=O)OCCCc1ccccc1)C(=O)OCCCc1ccccc1,1.119451787,1.06e-12,3473.02424,3055910699.0,0.000169937,1.530727217,0.210081521,4
PI500,*CC(*)(C)C(=O)Oc1ccc(C#N)cc1,1.126426327,3.97e-13,2807.547405,3094599509.0,8.77e-05,1.553561962,0.199831364,4
PI501,*CC(*)(CC(=O)OC)C(=O)OC,1.129334605,5.22e-13,3266.388338,2840130031.0,0.000120687,1.431420373,0.211788328,4
PI502,*C(*)C(=O)OCC,1.092477839,2.17e-13,3169.214602,2236436681.0,0.000144705,1.444107937,0.225814865,4
PI503,*C(*)C(=O)OC,1.150760389,3.91e-13,2942.961142,2569277514.0,0.000119762,1.440699695,0.222112653,4
PI504,*C(*)C(=O)OCCC,1.065852977,8.46e-13,3460.356815,2100937306.0,0.000196214,1.455676041,0.244933508,4
PI505,*CC(*)(CC(=O)OCCC)C(=O)OCCC,1.041623299,6.31e-13,3520.689793,2314726780.0,0.000133831,1.43553303,0.225769616,4
PI506,*CC(*)C(=O)OCCO,1.225132744,4.76e-13,3185.566284,5094194840.0,0.000105918,1.483896322,0.297878745,4
PI507,*CC(*)(CCC(C)C(=O)OC)C(=O)OC,1.042726823,6.96e-13,3532.691906,2692095553.0,6.37e-05,1.424690696,0.238137173,4
PI508,*CC(*)C(=O)OC1CCCCCCCCCCC1,0.962713613,3.22e-13,3793.80436,3782547181.0,8.04e-05,1.459065226,0.245455632,4
PI509,*C(C*)Cl,1.332667324,1.76e-13,2089.430166,3788795128.0,7.59e-05,1.531893889,0.142730624,5
PI510,*C(C*)(F)F,1.54254368,5.23e-13,2817.618567,3991883480.0,0.000191392,1.417747363,0.148188116,5
PI511,*CC(*)(Cl)Cl,1.610770482,1.38e-13,1421.740503,4338494093.0,6.02e-05,1.556668229,0.096200541,5
PI514,*C(C(*)(F)F)(Cl)F,1.892081877,2.55e-13,1344.77588,3527834289.0,5.3e-05,1.410850682,0.119922243,5
PI515,*CCC=C(*)Cl,1.195057514,6.92e-13,2518.662614,3114848167.0,0.000116493,1.561980595,0.156164169,5
PI517,*/C(=C/CC*)C,0.883356872,2.5e-12,4105.429818,2563058158.0,0.000158043,1.527954759,0.304049871,6
PI518,*CC/C=C(\*)C,0.879252837,1.43e-12,4186.093683,2563306450.0,0.000176551,1.531125021,0.232021285,6
PI519,*CC/C=C(/*)Cl,1.20676381,1.03e-12,2545.973223,3219993975.0,0.000133889,1.556606368,0.170304562,6
PI520,*CC/C=C(\*)Cl,1.197366557,7.53e-13,2471.870685,3223289437.0,0.000111259,1.563184376,0.150572404,6
PI521,*CC(*)C=C,0.865584799,1.08e-12,3955.765384,1791447898.0,0.000142777,1.510415103,0.273513817,6
